building_type,elemental_code,code_name,category,cost_per_sf_low,cost_per_sf_avg,cost_per_sf_high,mult_procurement_cmar,mult_procurement_hard_bid,mult_procurement_design_build,mult_procurement_csp,mult_construction_concrete,mult_construction_steel,mult_construction_mass_timber,mult_construction_wood_frame,mult_stories_1,mult_stories_2,mult_stories_3,mult_stories_4
District,D30,Fittings & Specialties,Interiors,4.50,6.00,8.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,D40,Stairs,Interiors,3.00,4.50,6.00,0.900,1.100,1.000,1.050,0.950,1.000,1.100,0.900,1.000,1.150,1.300,1.450
District,D50,Finishes,Interiors,11.00,15.00,19.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,E10,Plumbing,Services,9.00,12.00,15.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
District,E20,HVAC,Services,17.00,22.00,27.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.030,1.060,1.090
District,E30,Fire Protection,Services,4.50,6.00,8.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
District,E40,Electrical,Services,14.00,18.00,23.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
District,E50,Conveying Systems,Services,0.00,1.50,6.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.500,1.800,2.000
District,F10,Fixed Equipment,Equipment,3.00,4.50,8.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,F20,Furnishings,Equipment,2.25,4.00,6.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,G10,Special Construction,Site,1.50,3.00,4.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,G20,Building Demolition,Site,0.00,1.50,4.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
District,Z10,General Requirements,General,6.00,9.00,12.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
